sample_order,sector,ticker,company_name,CIK,filing_position,form,filing_date,accession_number,sec_locator,classification,signal_strength,temporal_state,affected_actor,origin_status,evidence_summary,specificity,novelty,persistence,commercial_explicitness,scorer_confidence
52,energy,FANG,Diamondback Energy,0001539838,F1,10-Q,2019-11-06,0001539838-19-000117,https://www.sec.gov/Archives/edgar/data/1539838/0001539838-19-000117.txt,No Signal,N/A,N/A,N/A,N/A,"Realized oil, gas and NGL prices are market-index commodity outcomes and hedging mechanics; the frozen filings do not establish a company-originated customer pricing, entitlement, migration or cost-transfer mechanism.",N/A,N/A,N/A,N/A,High
52,energy,FANG,Diamondback Energy,0001539838,F2,10-K,2020-02-27,0001539838-20-000021,https://www.sec.gov/Archives/edgar/data/1539838/0001539838-20-000021.txt,No Signal,N/A,N/A,N/A,N/A,"Realized oil, gas and NGL prices are market-index commodity outcomes and hedging mechanics; the frozen filings do not establish a company-originated customer pricing, entitlement, migration or cost-transfer mechanism.",N/A,N/A,N/A,N/A,High
52,energy,FANG,Diamondback Energy,0001539838,F3,10-Q,2020-05-08,0001539838-20-000054,https://www.sec.gov/Archives/edgar/data/1539838/0001539838-20-000054.txt,No Signal,N/A,N/A,N/A,N/A,"Realized oil, gas and NGL prices are market-index commodity outcomes and hedging mechanics; the frozen filings do not establish a company-originated customer pricing, entitlement, migration or cost-transfer mechanism.",N/A,N/A,N/A,N/A,High
52,energy,FANG,Diamondback Energy,0001539838,F4,10-Q,2020-08-10,0001539838-20-000101,https://www.sec.gov/Archives/edgar/data/1539838/0001539838-20-000101.txt,No Signal,N/A,N/A,N/A,N/A,"Realized oil, gas and NGL prices are market-index commodity outcomes and hedging mechanics; the frozen filings do not establish a company-originated customer pricing, entitlement, migration or cost-transfer mechanism.",N/A,N/A,N/A,N/A,High
52,energy,FANG,Diamondback Energy,0001539838,F5,10-Q,2020-11-05,0001539838-20-000111,https://www.sec.gov/Archives/edgar/data/1539838/0001539838-20-000111.txt,No Signal,N/A,N/A,N/A,N/A,"Realized oil, gas and NGL prices are market-index commodity outcomes and hedging mechanics; the frozen filings do not establish a company-originated customer pricing, entitlement, migration or cost-transfer mechanism.",N/A,N/A,N/A,N/A,High
53,energy,NOV,Nov,0001021860,F1,10-Q,2019-10-30,0001564590-19-038434,https://www.sec.gov/Archives/edgar/data/1021860/0001564590-19-038434.txt,No Signal,N/A,N/A,N/A,N/A,"The annual F2 filing discloses surcharges and price adjustments used to mitigate higher raw-material costs, but the mechanism is not sustained or materially strengthened through F5; F5 is dominated by customer capital-spending and commodity-market weakness.",N/A,N/A,N/A,N/A,High
53,energy,NOV,Nov,0001021860,F2,10-K,2020-02-13,0001564590-20-004552,https://www.sec.gov/Archives/edgar/data/1021860/0001564590-20-004552.txt,SP004,Moderate,IMPLEMENTATION,Equipment/service customers,Company-originated commercial model,NOV states it has generally mitigated higher raw-material costs by applying surcharges to and adjusting prices on products it sells.,Moderate,Pre-existing,Isolated,Moderate,High
53,energy,NOV,Nov,0001021860,F3,10-Q,2020-04-28,0001564590-20-019212,https://www.sec.gov/Archives/edgar/data/1021860/0001564590-20-019212.txt,No Signal,N/A,N/A,N/A,N/A,"The annual F2 filing discloses surcharges and price adjustments used to mitigate higher raw-material costs, but the mechanism is not sustained or materially strengthened through F5; F5 is dominated by customer capital-spending and commodity-market weakness.",N/A,N/A,N/A,N/A,High
53,energy,NOV,Nov,0001021860,F4,10-Q,2020-07-28,0001564590-20-033775,https://www.sec.gov/Archives/edgar/data/1021860/0001564590-20-033775.txt,No Signal,N/A,N/A,N/A,N/A,"The annual F2 filing discloses surcharges and price adjustments used to mitigate higher raw-material costs, but the mechanism is not sustained or materially strengthened through F5; F5 is dominated by customer capital-spending and commodity-market weakness.",N/A,N/A,N/A,N/A,High
53,energy,NOV,Nov,0001021860,F5,10-Q,2020-10-27,0001564590-20-047905,https://www.sec.gov/Archives/edgar/data/1021860/0001564590-20-047905.txt,No Signal,N/A,N/A,N/A,N/A,"The annual F2 filing discloses surcharges and price adjustments used to mitigate higher raw-material costs, but the mechanism is not sustained or materially strengthened through F5; F5 is dominated by customer capital-spending and commodity-market weakness.",N/A,N/A,N/A,N/A,High
54,energy,FTI,TechnipFMC,0001681459,F1,10-Q,2019-11-12,0001681459-19-000104,https://www.sec.gov/Archives/edgar/data/1681459/0001681459-19-000104.txt,No Signal,N/A,N/A,N/A,N/A,"Fixed-price project risk, customer demand and commodity-price exposure are discussed, but no qualifying company-originated customer-economic mechanism is established in the frozen F5 filing.",N/A,N/A,N/A,N/A,High
54,energy,FTI,TechnipFMC,0001681459,F2,10-K,2020-03-03,0001681459-20-000004,https://www.sec.gov/Archives/edgar/data/1681459/0001681459-20-000004.txt,No Signal,N/A,N/A,N/A,N/A,"Fixed-price project risk, customer demand and commodity-price exposure are discussed, but no qualifying company-originated customer-economic mechanism is established in the frozen F5 filing.",N/A,N/A,N/A,N/A,High
54,energy,FTI,TechnipFMC,0001681459,F3,10-Q,2020-05-04,0001681459-20-000083,https://www.sec.gov/Archives/edgar/data/1681459/0001681459-20-000083.txt,No Signal,N/A,N/A,N/A,N/A,"Fixed-price project risk, customer demand and commodity-price exposure are discussed, but no qualifying company-originated customer-economic mechanism is established in the frozen F5 filing.",N/A,N/A,N/A,N/A,High
54,energy,FTI,TechnipFMC,0001681459,F4,10-Q,2020-07-31,0001681459-20-000103,https://www.sec.gov/Archives/edgar/data/1681459/0001681459-20-000103.txt,No Signal,N/A,N/A,N/A,N/A,"Fixed-price project risk, customer demand and commodity-price exposure are discussed, but no qualifying company-originated customer-economic mechanism is established in the frozen F5 filing.",N/A,N/A,N/A,N/A,High
54,energy,FTI,TechnipFMC,0001681459,F5,10-Q,2020-11-02,0001681459-20-000123,https://www.sec.gov/Archives/edgar/data/1681459/0001681459-20-000123.txt,No Signal,N/A,N/A,N/A,N/A,"Fixed-price project risk, customer demand and commodity-price exposure are discussed, but no qualifying company-originated customer-economic mechanism is established in the frozen F5 filing.",N/A,N/A,N/A,N/A,High
55,energy,APA,APA Corporation,0000006769,F1,10-Q,2019-10-31,0001733037-19-000016,https://www.sec.gov/Archives/edgar/data/6769/0001733037-19-000016.txt,No Signal,N/A,N/A,N/A,N/A,Customer contracts use market-indexed commodity prices and market-reflective differentials; these are commodity-market mechanics rather than a qualifying company-originated customer yield or cost-transfer action.,N/A,N/A,N/A,N/A,High
55,energy,APA,APA Corporation,0000006769,F2,10-K,2020-02-28,0001733037-20-000004,https://www.sec.gov/Archives/edgar/data/6769/0001733037-20-000004.txt,No Signal,N/A,N/A,N/A,N/A,Customer contracts use market-indexed commodity prices and market-reflective differentials; these are commodity-market mechanics rather than a qualifying company-originated customer yield or cost-transfer action.,N/A,N/A,N/A,N/A,High
55,energy,APA,APA Corporation,0000006769,F3,10-Q,2020-05-07,0001733037-20-000008,https://www.sec.gov/Archives/edgar/data/6769/0001733037-20-000008.txt,No Signal,N/A,N/A,N/A,N/A,Customer contracts use market-indexed commodity prices and market-reflective differentials; these are commodity-market mechanics rather than a qualifying company-originated customer yield or cost-transfer action.,N/A,N/A,N/A,N/A,High
55,energy,APA,APA Corporation,0000006769,F4,10-Q,2020-07-30,0001733037-20-000013,https://www.sec.gov/Archives/edgar/data/6769/0001733037-20-000013.txt,No Signal,N/A,N/A,N/A,N/A,Customer contracts use market-indexed commodity prices and market-reflective differentials; these are commodity-market mechanics rather than a qualifying company-originated customer yield or cost-transfer action.,N/A,N/A,N/A,N/A,High
55,energy,APA,APA Corporation,0000006769,F5,10-Q,2020-11-05,0001733037-20-000018,https://www.sec.gov/Archives/edgar/data/6769/0001733037-20-000018.txt,No Signal,N/A,N/A,N/A,N/A,Customer contracts use market-indexed commodity prices and market-reflective differentials; these are commodity-market mechanics rather than a qualifying company-originated customer yield or cost-transfer action.,N/A,N/A,N/A,N/A,High
56,energy,COP,ConocoPhillips,0001163165,F1,10-Q,2019-10-31,0001193125-19-279997,https://www.sec.gov/Archives/edgar/data/1163165/0001193125-19-279997.txt,No Signal,N/A,N/A,N/A,N/A,Long-term commodity sales use prevailing market prices and derivative activity manages commodity exposure; the frozen filings do not identify a qualifying company-originated customer-economic action.,N/A,N/A,N/A,N/A,High
56,energy,COP,ConocoPhillips,0001163165,F2,10-K,2020-02-18,0001193125-20-039954,https://www.sec.gov/Archives/edgar/data/1163165/0001193125-20-039954.txt,No Signal,N/A,N/A,N/A,N/A,Long-term commodity sales use prevailing market prices and derivative activity manages commodity exposure; the frozen filings do not identify a qualifying company-originated customer-economic action.,N/A,N/A,N/A,N/A,High
56,energy,COP,ConocoPhillips,0001163165,F3,10-Q,2020-05-05,0001562762-20-000162,https://www.sec.gov/Archives/edgar/data/1163165/0001562762-20-000162.txt,No Signal,N/A,N/A,N/A,N/A,Long-term commodity sales use prevailing market prices and derivative activity manages commodity exposure; the frozen filings do not identify a qualifying company-originated customer-economic action.,N/A,N/A,N/A,N/A,High
56,energy,COP,ConocoPhillips,0001163165,F4,10-Q,2020-08-04,0001562762-20-000267,https://www.sec.gov/Archives/edgar/data/1163165/0001562762-20-000267.txt,No Signal,N/A,N/A,N/A,N/A,Long-term commodity sales use prevailing market prices and derivative activity manages commodity exposure; the frozen filings do not identify a qualifying company-originated customer-economic action.,N/A,N/A,N/A,N/A,High
56,energy,COP,ConocoPhillips,0001163165,F5,10-Q,2020-11-03,0001562762-20-000367,https://www.sec.gov/Archives/edgar/data/1163165/0001562762-20-000367.txt,No Signal,N/A,N/A,N/A,N/A,Long-term commodity sales use prevailing market prices and derivative activity manages commodity exposure; the frozen filings do not identify a qualifying company-originated customer-economic action.,N/A,N/A,N/A,N/A,High
57,energy,OXY,Occidental Petroleum,0000797468,F1,10-Q,2019-11-04,0000797468-19-000016,https://www.sec.gov/Archives/edgar/data/797468/0000797468-19-000016.txt,No Signal,N/A,N/A,N/A,N/A,"Commodity-price derivatives, market-linked sales and asset-sale activity dominate the evidence; no qualifying customer pricing, entitlement, migration or cost-transfer mechanism is established at F5.",N/A,N/A,N/A,N/A,High
57,energy,OXY,Occidental Petroleum,0000797468,F2,10-K,2020-02-28,0000797468-20-000004,https://www.sec.gov/Archives/edgar/data/797468/0000797468-20-000004.txt,No Signal,N/A,N/A,N/A,N/A,"Commodity-price derivatives, market-linked sales and asset-sale activity dominate the evidence; no qualifying customer pricing, entitlement, migration or cost-transfer mechanism is established at F5.",N/A,N/A,N/A,N/A,High
57,energy,OXY,Occidental Petroleum,0000797468,F3,10-Q,2020-05-06,0000797468-20-000010,https://www.sec.gov/Archives/edgar/data/797468/0000797468-20-000010.txt,No Signal,N/A,N/A,N/A,N/A,"Commodity-price derivatives, market-linked sales and asset-sale activity dominate the evidence; no qualifying customer pricing, entitlement, migration or cost-transfer mechanism is established at F5.",N/A,N/A,N/A,N/A,High
57,energy,OXY,Occidental Petroleum,0000797468,F4,10-Q,2020-08-10,0000797468-20-000027,https://www.sec.gov/Archives/edgar/data/797468/0000797468-20-000027.txt,No Signal,N/A,N/A,N/A,N/A,"Commodity-price derivatives, market-linked sales and asset-sale activity dominate the evidence; no qualifying customer pricing, entitlement, migration or cost-transfer mechanism is established at F5.",N/A,N/A,N/A,N/A,High
57,energy,OXY,Occidental Petroleum,0000797468,F5,10-Q,2020-11-09,0000797468-20-000033,https://www.sec.gov/Archives/edgar/data/797468/0000797468-20-000033.txt,No Signal,N/A,N/A,N/A,N/A,"Commodity-price derivatives, market-linked sales and asset-sale activity dominate the evidence; no qualifying customer pricing, entitlement, migration or cost-transfer mechanism is established at F5.",N/A,N/A,N/A,N/A,High
58,energy,KMI,Kinder Morgan,0001506307,F1,10-Q,2019-10-21,0001506307-19-000158,https://www.sec.gov/Archives/edgar/data/1506307/0001506307-19-000158.txt,SP002,Moderate,IMPLEMENTATION,Pipeline shippers,Regulated company-originated tariff/rate model,Kinder Morgan/SFPP filings describe tariff and indexed rate increases charged to shippers and related regulatory challenges; the same mechanism persists without material strengthening.,Moderate,Pre-existing,Persistent,Moderate,High
58,energy,KMI,Kinder Morgan,0001506307,F2,10-K,2020-02-12,0001506307-20-000022,https://www.sec.gov/Archives/edgar/data/1506307/0001506307-20-000022.txt,SP002,Moderate,IMPLEMENTATION,Pipeline shippers,Regulated company-originated tariff/rate model,Kinder Morgan/SFPP filings describe tariff and indexed rate increases charged to shippers and related regulatory challenges; the same mechanism persists without material strengthening.,Moderate,Pre-existing,Persistent,Moderate,High
58,energy,KMI,Kinder Morgan,0001506307,F3,10-Q,2020-04-29,0001506307-20-000041,https://www.sec.gov/Archives/edgar/data/1506307/0001506307-20-000041.txt,SP002,Moderate,IMPLEMENTATION,Pipeline shippers,Regulated company-originated tariff/rate model,Kinder Morgan/SFPP filings describe tariff and indexed rate increases charged to shippers and related regulatory challenges; the same mechanism persists without material strengthening.,Moderate,Pre-existing,Persistent,Moderate,High
58,energy,KMI,Kinder Morgan,0001506307,F4,10-Q,2020-07-27,0001506307-20-000067,https://www.sec.gov/Archives/edgar/data/1506307/0001506307-20-000067.txt,SP002,Moderate,IMPLEMENTATION,Pipeline shippers,Regulated company-originated tariff/rate model,Kinder Morgan/SFPP filings describe tariff and indexed rate increases charged to shippers and related regulatory challenges; the same mechanism persists without material strengthening.,Moderate,Pre-existing,Persistent,Moderate,High
58,energy,KMI,Kinder Morgan,0001506307,F5,10-Q,2020-10-23,0001506307-20-000097,https://www.sec.gov/Archives/edgar/data/1506307/0001506307-20-000097.txt,SP002,Moderate,IMPLEMENTATION,Pipeline shippers,Regulated company-originated tariff/rate model,Kinder Morgan/SFPP filings describe tariff and indexed rate increases charged to shippers and related regulatory challenges; the same mechanism persists without material strengthening.,Moderate,Pre-existing,Persistent,Moderate,High
59,energy,HES,Hess Corporation,0000004447,F1,10-Q,2019-11-07,0001564590-19-041724,https://www.sec.gov/Archives/edgar/data/4447/0001564590-19-041724.txt,No Signal,N/A,N/A,N/A,N/A,Selling-price and midstream-tariff references primarily reflect commodity markets and operating economics; environmental/JDA cost-recovery references are not customer-economic actions.,N/A,N/A,N/A,N/A,High
59,energy,HES,Hess Corporation,0000004447,F2,10-K,2020-02-20,0001564590-20-005545,https://www.sec.gov/Archives/edgar/data/4447/0001564590-20-005545.txt,No Signal,N/A,N/A,N/A,N/A,Selling-price and midstream-tariff references primarily reflect commodity markets and operating economics; environmental/JDA cost-recovery references are not customer-economic actions.,N/A,N/A,N/A,N/A,High
