sample_order,sector,sector_rank,ticker,company_name,CIK,filing_position,form,filing_date,accession_number,sec_locator,verification_status,verification_note,classification,signal_strength,temporal_state,affected_actor,origin_status,evidence_summary
157,information_technology,1,KEYS,Keysight Technologies,0001601046,F1,10-Q,2019-08-30,0001601046-19-000038,https://www.sec.gov/Archives/edgar/data/1601046/0001601046-19-000038.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,License and renewal accounting does not establish a qualifying yield or migration action.
157,information_technology,1,KEYS,Keysight Technologies,0001601046,F2,10-K,2019-12-18,0001601046-19-000110,https://www.sec.gov/Archives/edgar/data/1601046/0001601046-19-000110.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,License and renewal accounting does not establish a qualifying yield or migration action.
157,information_technology,1,KEYS,Keysight Technologies,0001601046,F3,10-Q,2020-03-05,0001601046-20-000005,https://www.sec.gov/Archives/edgar/data/1601046/0001601046-20-000005.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,License and renewal accounting does not establish a qualifying yield or migration action.
157,information_technology,1,KEYS,Keysight Technologies,0001601046,F4,10-Q,2020-06-02,0001601046-20-000045,https://www.sec.gov/Archives/edgar/data/1601046/0001601046-20-000045.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,License and renewal accounting does not establish a qualifying yield or migration action.
157,information_technology,1,KEYS,Keysight Technologies,0001601046,F5,10-Q,2020-09-01,0001601046-20-000056,https://www.sec.gov/Archives/edgar/data/1601046/0001601046-20-000056.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,License and renewal accounting does not establish a qualifying yield or migration action.
158,information_technology,2,IT,Gartner,0000749251,F1,10-Q,2019-10-31,0000749251-19-000025,https://www.sec.gov/Archives/edgar/data/749251/0000749251-19-000025.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,Subscription contracts are the established delivery model; no qualifying customer-economic action or strengthening is identified.
158,information_technology,2,IT,Gartner,0000749251,F2,10-K,2020-02-19,0000749251-20-000008,https://www.sec.gov/Archives/edgar/data/749251/0000749251-20-000008.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,Subscription contracts are the established delivery model; no qualifying customer-economic action or strengthening is identified.
158,information_technology,2,IT,Gartner,0000749251,F3,10-Q,2020-05-07,0000749251-20-000015,https://www.sec.gov/Archives/edgar/data/749251/0000749251-20-000015.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,Subscription contracts are the established delivery model; no qualifying customer-economic action or strengthening is identified.
158,information_technology,2,IT,Gartner,0000749251,F4,10-Q,2020-08-04,0000749251-20-000026,https://www.sec.gov/Archives/edgar/data/749251/0000749251-20-000026.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,Subscription contracts are the established delivery model; no qualifying customer-economic action or strengthening is identified.
158,information_technology,2,IT,Gartner,0000749251,F5,10-Q,2020-11-03,0000749251-20-000034,https://www.sec.gov/Archives/edgar/data/749251/0000749251-20-000034.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,Subscription contracts are the established delivery model; no qualifying customer-economic action or strengthening is identified.
159,information_technology,3,KLAC,KLA Corporation,0000319201,F1,10-Q,2019-10-31,0000319201-19-000039,https://www.sec.gov/Archives/edgar/data/319201/0000319201-19-000039.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,SP002,Moderate,IMPLEMENTATION,Installed-base service customers,Company-originated commercial model,"Maintenance/support renewals generate recurring service revenue, but no Strong new yield mechanism or acceleration is present."
159,information_technology,3,KLAC,KLA Corporation,0000319201,F2,10-Q,2020-02-05,0000319201-20-000008,https://www.sec.gov/Archives/edgar/data/319201/0000319201-20-000008.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,SP002,Moderate,IMPLEMENTATION,Installed-base service customers,Company-originated commercial model,"Maintenance/support renewals generate recurring service revenue, but no Strong new yield mechanism or acceleration is present."
159,information_technology,3,KLAC,KLA Corporation,0000319201,F3,10-Q,2020-05-06,0000319201-20-000026,https://www.sec.gov/Archives/edgar/data/319201/0000319201-20-000026.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,SP002,Moderate,IMPLEMENTATION,Installed-base service customers,Company-originated commercial model,"Maintenance/support renewals generate recurring service revenue, but no Strong new yield mechanism or acceleration is present."
159,information_technology,3,KLAC,KLA Corporation,0000319201,F4,10-K,2020-08-07,0000319201-20-000047,https://www.sec.gov/Archives/edgar/data/319201/0000319201-20-000047.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,SP002,Moderate,IMPLEMENTATION,Installed-base service customers,Company-originated commercial model,"Maintenance/support renewals generate recurring service revenue, but no Strong new yield mechanism or acceleration is present."
