sample_order,sector,sector_rank,ticker,company_name,CIK,filing_position,form,filing_date,accession_number,sec_locator,verification_status,verification_note,classification,signal_strength,temporal_state,affected_actor,origin_status,evidence_summary
127,industrials,1,IR,Ingersoll Rand,0001699150,F1,10-Q,2019-10-30,0001140361-19-019437,https://www.sec.gov/Archives/edgar/data/1699150/0001140361-19-019437.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,No qualifying customer-economic mechanism.
127,industrials,1,IR,Ingersoll Rand,0001699150,F2,10-K,2020-02-26,0001140361-20-004146,https://www.sec.gov/Archives/edgar/data/1699150/0001140361-20-004146.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,No qualifying customer-economic mechanism.
127,industrials,1,IR,Ingersoll Rand,0001699150,F3,10-Q,2020-05-15,0001140361-20-011736,https://www.sec.gov/Archives/edgar/data/1699150/0001140361-20-011736.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,No qualifying customer-economic mechanism.
127,industrials,1,IR,Ingersoll Rand,0001699150,F4,10-Q,2020-08-04,0001140361-20-017479,https://www.sec.gov/Archives/edgar/data/1699150/0001140361-20-017479.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,No qualifying customer-economic mechanism.
127,industrials,1,IR,Ingersoll Rand,0001699150,F5,10-Q,2020-11-03,0001628280-20-015382,https://www.sec.gov/Archives/edgar/data/1699150/0001628280-20-015382.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,No qualifying customer-economic mechanism.
128,industrials,2,PNR,Pentair,0000077360,F1,10-Q,2019-10-23,0000077360-19-000035,https://www.sec.gov/Archives/edgar/data/77360/0000077360-19-000035.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,Discontinued-operations/accounting references are non-qualifying.
128,industrials,2,PNR,Pentair,0000077360,F2,10-K,2020-02-25,0000077360-20-000006,https://www.sec.gov/Archives/edgar/data/77360/0000077360-20-000006.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,Discontinued-operations/accounting references are non-qualifying.
128,industrials,2,PNR,Pentair,0000077360,F3,10-Q,2020-04-30,0000077360-20-000018,https://www.sec.gov/Archives/edgar/data/77360/0000077360-20-000018.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,Discontinued-operations/accounting references are non-qualifying.
128,industrials,2,PNR,Pentair,0000077360,F4,10-Q,2020-07-23,0000077360-20-000031,https://www.sec.gov/Archives/edgar/data/77360/0000077360-20-000031.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,Discontinued-operations/accounting references are non-qualifying.
128,industrials,2,PNR,Pentair,0000077360,F5,10-Q,2020-10-20,0000077360-20-000040,https://www.sec.gov/Archives/edgar/data/77360/0000077360-20-000040.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,Discontinued-operations/accounting references are non-qualifying.
