sample_order,sector,sector_rank,ticker,company_name,CIK,filing_position,form,filing_date,accession_number,sec_locator,verification_status,verification_note,classification,signal_strength,temporal_state,affected_actor,origin_status,evidence_summary,specificity,novelty,persistence,commercial_explicitness,scorer_confidence
99,health_care,1,DHR,Danaher Corporation,0000313616,F1,10-Q,2019-10-24,0000313616-19-000148,https://www.sec.gov/Archives/edgar/data/313616/0000313616-19-000148.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,SP002,Strong,IMPLEMENTATION,Laboratory/life-science customers,Company-originated commercial model,Segment price increases are already contributing to sales at F1 and remain an established pricing mechanism; high intensity but not accelerating.,High,Pre-existing,Persistent,High,High
99,health_care,1,DHR,Danaher Corporation,0000313616,F2,10-K,2020-02-21,0000313616-20-000041,https://www.sec.gov/Archives/edgar/data/313616/0000313616-20-000041.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,SP002,Strong,IMPLEMENTATION,Laboratory/life-science customers,Company-originated commercial model,Segment price increases are already contributing to sales at F1 and remain an established pricing mechanism; high intensity but not accelerating.,High,Pre-existing,Persistent,High,High
99,health_care,1,DHR,Danaher Corporation,0000313616,F3,10-Q,2020-05-06,0000313616-20-000093,https://www.sec.gov/Archives/edgar/data/313616/0000313616-20-000093.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,SP002,Strong,IMPLEMENTATION,Laboratory/life-science customers,Company-originated commercial model,Segment price increases are already contributing to sales at F1 and remain an established pricing mechanism; high intensity but not accelerating.,High,Pre-existing,Persistent,High,High
99,health_care,1,DHR,Danaher Corporation,0000313616,F4,10-Q,2020-07-23,0000313616-20-000120,https://www.sec.gov/Archives/edgar/data/313616/0000313616-20-000120.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,SP002,Strong,IMPLEMENTATION,Laboratory/life-science customers,Company-originated commercial model,Segment price increases are already contributing to sales at F1 and remain an established pricing mechanism; high intensity but not accelerating.,High,Pre-existing,Persistent,High,High
99,health_care,1,DHR,Danaher Corporation,0000313616,F5,10-Q,2020-10-22,0000313616-20-000142,https://www.sec.gov/Archives/edgar/data/313616/0000313616-20-000142.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,SP002,Strong,IMPLEMENTATION,Laboratory/life-science customers,Company-originated commercial model,Segment price increases are already contributing to sales at F1 and remain an established pricing mechanism; high intensity but not accelerating.,High,Pre-existing,Persistent,High,High
100,health_care,2,IQV,IQVIA,0001478242,F1,10-Q,2019-11-01,0001564590-19-039268,https://www.sec.gov/Archives/edgar/data/1478242/0001564590-19-039268.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,Fixed-price and migration references do not establish a qualifying customer-economic action.,N/A,N/A,None,N/A,High
100,health_care,2,IQV,IQVIA,0001478242,F2,10-K,2020-02-18,0001564590-20-004901,https://www.sec.gov/Archives/edgar/data/1478242/0001564590-20-004901.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,Fixed-price and migration references do not establish a qualifying customer-economic action.,N/A,N/A,None,N/A,High
100,health_care,2,IQV,IQVIA,0001478242,F3,10-Q,2020-04-30,0001478242-20-000029,https://www.sec.gov/Archives/edgar/data/1478242/0001478242-20-000029.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,Fixed-price and migration references do not establish a qualifying customer-economic action.,N/A,N/A,None,N/A,High
100,health_care,2,IQV,IQVIA,0001478242,F4,10-Q,2020-07-23,0001478242-20-000047,https://www.sec.gov/Archives/edgar/data/1478242/0001478242-20-000047.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,Fixed-price and migration references do not establish a qualifying customer-economic action.,N/A,N/A,None,N/A,High
100,health_care,2,IQV,IQVIA,0001478242,F5,10-Q,2020-10-22,0001478242-20-000075,https://www.sec.gov/Archives/edgar/data/1478242/0001478242-20-000075.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Corrected pre-T0 universe; sequential 10-Q/10-K under frozen H06 F5 rule,No Signal,N/A,N/A,N/A,N/A,Fixed-price and migration references do not establish a qualifying customer-economic action.,N/A,N/A,None,N/A,High
