sample_order,sector,ticker,company_name,CIK,filing_position,form,filing_date,accession_number,sec_locator,classification,signal_strength,temporal_state,affected_actor,origin_status,evidence_summary,specificity,novelty,persistence,commercial_explicitness,scorer_confidence
63,financials,USB,U.S. Bancorp,0000036104,F1,10-Q,2019-11-08,0001193125-19-287486,https://www.sec.gov/Archives/edgar/data/36104/0001193125-19-287486.txt,No Signal,N/A,N/A,N/A,N/A,No qualifying customer-economic pricing or fee mechanism is established at F5; retrieved references are risk/accounting/customer-position noise.,N/A,N/A,N/A,N/A,High
63,financials,USB,U.S. Bancorp,0000036104,F2,10-K,2020-02-20,0001193125-20-043622,https://www.sec.gov/Archives/edgar/data/36104/0001193125-20-043622.txt,No Signal,N/A,N/A,N/A,N/A,No qualifying customer-economic pricing or fee mechanism is established at F5; retrieved references are risk/accounting/customer-position noise.,N/A,N/A,N/A,N/A,High
63,financials,USB,U.S. Bancorp,0000036104,F3,10-Q,2020-05-07,0001193125-20-136359,https://www.sec.gov/Archives/edgar/data/36104/0001193125-20-136359.txt,No Signal,N/A,N/A,N/A,N/A,No qualifying customer-economic pricing or fee mechanism is established at F5; retrieved references are risk/accounting/customer-position noise.,N/A,N/A,N/A,N/A,High
63,financials,USB,U.S. Bancorp,0000036104,F4,10-Q,2020-08-06,0001193125-20-211979,https://www.sec.gov/Archives/edgar/data/36104/0001193125-20-211979.txt,No Signal,N/A,N/A,N/A,N/A,No qualifying customer-economic pricing or fee mechanism is established at F5; retrieved references are risk/accounting/customer-position noise.,N/A,N/A,N/A,N/A,High
63,financials,USB,U.S. Bancorp,0000036104,F5,10-Q,2020-11-05,0001193125-20-286983,https://www.sec.gov/Archives/edgar/data/36104/0001193125-20-286983.txt,No Signal,N/A,N/A,N/A,N/A,No qualifying customer-economic pricing or fee mechanism is established at F5; retrieved references are risk/accounting/customer-position noise.,N/A,N/A,N/A,N/A,High
64,financials,GS,Goldman Sachs,0000886982,F1,10-Q,2019-11-01,0001193125-19-280752,https://www.sec.gov/Archives/edgar/data/886982/0001193125-19-280752.txt,No Signal,N/A,N/A,N/A,N/A,Client spreads and fees describe ordinary market-making economics rather than a new or intensified customer-yield mechanism at F5.,N/A,N/A,N/A,N/A,High
64,financials,GS,Goldman Sachs,0000886982,F2,10-K,2020-02-21,0001193125-20-043853,https://www.sec.gov/Archives/edgar/data/886982/0001193125-20-043853.txt,No Signal,N/A,N/A,N/A,N/A,Client spreads and fees describe ordinary market-making economics rather than a new or intensified customer-yield mechanism at F5.,N/A,N/A,N/A,N/A,High
64,financials,GS,Goldman Sachs,0000886982,F3,10-Q,2020-05-01,0001193125-20-129324,https://www.sec.gov/Archives/edgar/data/886982/0001193125-20-129324.txt,No Signal,N/A,N/A,N/A,N/A,Client spreads and fees describe ordinary market-making economics rather than a new or intensified customer-yield mechanism at F5.,N/A,N/A,N/A,N/A,High
64,financials,GS,Goldman Sachs,0000886982,F4,10-Q,2020-08-07,0001193125-20-212201,https://www.sec.gov/Archives/edgar/data/886982/0001193125-20-212201.txt,No Signal,N/A,N/A,N/A,N/A,Client spreads and fees describe ordinary market-making economics rather than a new or intensified customer-yield mechanism at F5.,N/A,N/A,N/A,N/A,High
64,financials,GS,Goldman Sachs,0000886982,F5,10-Q,2020-11-02,0001193125-20-282987,https://www.sec.gov/Archives/edgar/data/886982/0001193125-20-282987.txt,No Signal,N/A,N/A,N/A,N/A,Client spreads and fees describe ordinary market-making economics rather than a new or intensified customer-yield mechanism at F5.,N/A,N/A,N/A,N/A,High
65,financials,UNM,Unum Group,0000005513,F1,10-Q,2019-10-30,0000005513-19-000133,https://www.sec.gov/Archives/edgar/data/5513/0000005513-19-000133.txt,SP002,Strong,IMPLEMENTATION,Policyholders,Company-originated commercial model,"Renewal/premium price increases are explicit from F1 and continue through F5, including implemented group long-term disability rate increases; strong but pre-existing.",High,Pre-existing,Persistent,High,High
65,financials,UNM,Unum Group,0000005513,F2,10-K,2020-02-18,0000005513-20-000027,https://www.sec.gov/Archives/edgar/data/5513/0000005513-20-000027.txt,SP002,Strong,IMPLEMENTATION,Policyholders,Company-originated commercial model,"Renewal/premium price increases are explicit from F1 and continue through F5, including implemented group long-term disability rate increases; strong but pre-existing.",High,Pre-existing,Persistent,High,High
65,financials,UNM,Unum Group,0000005513,F3,10-Q,2020-05-05,0000005513-20-000076,https://www.sec.gov/Archives/edgar/data/5513/0000005513-20-000076.txt,SP002,Strong,IMPLEMENTATION,Policyholders,Company-originated commercial model,"Renewal/premium price increases are explicit from F1 and continue through F5, including implemented group long-term disability rate increases; strong but pre-existing.",High,Pre-existing,Persistent,High,High
65,financials,UNM,Unum Group,0000005513,F4,10-Q,2020-07-29,0000005513-20-000111,https://www.sec.gov/Archives/edgar/data/5513/0000005513-20-000111.txt,SP002,Strong,IMPLEMENTATION,Policyholders,Company-originated commercial model,"Renewal/premium price increases are explicit from F1 and continue through F5, including implemented group long-term disability rate increases; strong but pre-existing.",High,Pre-existing,Persistent,High,High
65,financials,UNM,Unum Group,0000005513,F5,10-Q,2020-10-28,0000005513-20-000152,https://www.sec.gov/Archives/edgar/data/5513/0000005513-20-000152.txt,SP002,Strong,IMPLEMENTATION,Policyholders,Company-originated commercial model,"Renewal/premium price increases are explicit from F1 and continue through F5, including implemented group long-term disability rate increases; strong but pre-existing.",High,Pre-existing,Persistent,High,High
66,financials,FITB,Fifth Third Bancorp,0000035527,F1,10-Q,2019-11-08,0001193125-19-288323,https://www.sec.gov/Archives/edgar/data/35527/0001193125-19-288323.txt,No Signal,N/A,N/A,N/A,N/A,"Cross-selling is described generically, while unauthorized-account litigation is not a company-originated qualifying yield action.",N/A,N/A,N/A,N/A,High
66,financials,FITB,Fifth Third Bancorp,0000035527,F2,10-K,2020-03-02,0001193125-20-057751,https://www.sec.gov/Archives/edgar/data/35527/0001193125-20-057751.txt,No Signal,N/A,N/A,N/A,N/A,"Cross-selling is described generically, while unauthorized-account litigation is not a company-originated qualifying yield action.",N/A,N/A,N/A,N/A,High
66,financials,FITB,Fifth Third Bancorp,0000035527,F3,10-Q,2020-05-08,0001193125-20-137598,https://www.sec.gov/Archives/edgar/data/35527/0001193125-20-137598.txt,No Signal,N/A,N/A,N/A,N/A,"Cross-selling is described generically, while unauthorized-account litigation is not a company-originated qualifying yield action.",N/A,N/A,N/A,N/A,High
66,financials,FITB,Fifth Third Bancorp,0000035527,F4,10-Q,2020-08-07,0000035527-20-000077,https://www.sec.gov/Archives/edgar/data/35527/0000035527-20-000077.txt,No Signal,N/A,N/A,N/A,N/A,"Cross-selling is described generically, while unauthorized-account litigation is not a company-originated qualifying yield action.",N/A,N/A,N/A,N/A,High
66,financials,FITB,Fifth Third Bancorp,0000035527,F5,10-Q,2020-11-05,0000035527-20-000107,https://www.sec.gov/Archives/edgar/data/35527/0000035527-20-000107.txt,No Signal,N/A,N/A,N/A,N/A,"Cross-selling is described generically, while unauthorized-account litigation is not a company-originated qualifying yield action.",N/A,N/A,N/A,N/A,High
