sample_order,sector,sector_rank,ticker,company_name,CIK,filing_position,form,filing_date,accession_number,sec_locator,verification_status,verification_note
1,communication_services,1,FOX,Fox Corporation,0001754301,F1,10-Q,2019-11-06,0001564590-19-041135,https://www.sec.gov/Archives/edgar/data/1754301/0001564590-19-041135.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
1,communication_services,1,FOX,Fox Corporation,0001754301,F2,10-Q,2020-02-05,0001564590-20-003497,https://www.sec.gov/Archives/edgar/data/1754301/0001564590-20-003497.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
1,communication_services,1,FOX,Fox Corporation,0001754301,F3,10-Q,2020-05-07,0001564590-20-022088,https://www.sec.gov/Archives/edgar/data/1754301/0001564590-20-022088.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
1,communication_services,1,FOX,Fox Corporation,0001754301,F4,10-K,2020-08-10,0001564590-20-038975,https://www.sec.gov/Archives/edgar/data/1754301/0001564590-20-038975.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
1,communication_services,1,FOX,Fox Corporation,0001754301,F5,10-Q,2020-11-03,0001564590-20-050013,https://www.sec.gov/Archives/edgar/data/1754301/0001564590-20-050013.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
2,communication_services,2,CMCSA,Comcast,0001166691,F1,10-Q,2019-10-24,0001166691-19-000020,https://www.sec.gov/Archives/edgar/data/1166691/0001166691-19-000020.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
2,communication_services,2,CMCSA,Comcast,0001166691,F2,10-K,2020-01-30,0001166691-20-000008,https://www.sec.gov/Archives/edgar/data/1166691/0001166691-20-000008.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
2,communication_services,2,CMCSA,Comcast,0001166691,F3,10-Q,2020-04-30,0001166691-20-000017,https://www.sec.gov/Archives/edgar/data/1166691/0001166691-20-000017.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
2,communication_services,2,CMCSA,Comcast,0001166691,F4,10-Q,2020-07-30,0001166691-20-000024,https://www.sec.gov/Archives/edgar/data/1166691/0001166691-20-000024.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
2,communication_services,2,CMCSA,Comcast,0001166691,F5,10-Q,2020-10-29,0001166691-20-000032,https://www.sec.gov/Archives/edgar/data/1166691/0001166691-20-000032.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
3,communication_services,3,LUMN,Lumen Technologies,0000018926,F1,10-Q,2019-11-07,0000018926-19-000022,https://www.sec.gov/Archives/edgar/data/18926/0000018926-19-000022.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
3,communication_services,3,LUMN,Lumen Technologies,0000018926,F2,10-K,2020-02-28,0000018926-20-000009,https://www.sec.gov/Archives/edgar/data/18926/0000018926-20-000009.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
3,communication_services,3,LUMN,Lumen Technologies,0000018926,F3,10-Q,2020-05-07,0000018926-20-000016,https://www.sec.gov/Archives/edgar/data/18926/0000018926-20-000016.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
3,communication_services,3,LUMN,Lumen Technologies,0000018926,F4,10-Q,2020-08-06,0000018926-20-000022,https://www.sec.gov/Archives/edgar/data/18926/0000018926-20-000022.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
3,communication_services,3,LUMN,Lumen Technologies,0000018926,F5,10-Q,2020-11-05,0000018926-20-000028,https://www.sec.gov/Archives/edgar/data/18926/0000018926-20-000028.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
4,communication_services,4,DIS,Walt Disney Company,0001744489,F1,10-K,2019-11-20,0001744489-19-000225,https://www.sec.gov/Archives/edgar/data/1744489/0001744489-19-000225.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
4,communication_services,4,DIS,Walt Disney Company,0001744489,F2,10-Q,2020-02-04,0001744489-20-000046,https://www.sec.gov/Archives/edgar/data/1744489/0001744489-20-000046.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
4,communication_services,4,DIS,Walt Disney Company,0001744489,F3,10-Q,2020-05-05,0001744489-20-000102,https://www.sec.gov/Archives/edgar/data/1744489/0001744489-20-000102.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
4,communication_services,4,DIS,Walt Disney Company,0001744489,F4,10-Q,2020-08-04,0001744489-20-000151,https://www.sec.gov/Archives/edgar/data/1744489/0001744489-20-000151.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
4,communication_services,4,DIS,Walt Disney Company,0001744489,F5,10-K,2020-11-25,0001744489-20-000197,https://www.sec.gov/Archives/edgar/data/1744489/0001744489-20-000197.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
5,communication_services,5,OMC,Omnicom Group,0000029989,F1,10-Q,2019-10-15,0000029989-19-000019,https://www.sec.gov/Archives/edgar/data/29989/0000029989-19-000019.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
5,communication_services,5,OMC,Omnicom Group,0000029989,F2,10-K,2020-02-11,0000029989-20-000005,https://www.sec.gov/Archives/edgar/data/29989/0000029989-20-000005.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
5,communication_services,5,OMC,Omnicom Group,0000029989,F3,10-Q,2020-04-28,0000029989-20-000007,https://www.sec.gov/Archives/edgar/data/29989/0000029989-20-000007.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
5,communication_services,5,OMC,Omnicom Group,0000029989,F4,10-Q,2020-07-28,0000029989-20-000010,https://www.sec.gov/Archives/edgar/data/29989/0000029989-20-000010.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
5,communication_services,5,OMC,Omnicom Group,0000029989,F5,10-Q,2020-10-27,0000029989-20-000016,https://www.sec.gov/Archives/edgar/data/29989/0000029989-20-000016.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
6,communication_services,6,DISH,Dish Network,0001001082,F1,10-Q,2019-11-07,0001558370-19-010263,https://www.sec.gov/Archives/edgar/data/1001082/0001558370-19-010263.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
6,communication_services,6,DISH,Dish Network,0001001082,F2,10-K,2020-02-19,0001558370-20-000945,https://www.sec.gov/Archives/edgar/data/1001082/0001558370-20-000945.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
6,communication_services,6,DISH,Dish Network,0001001082,F3,10-Q,2020-05-07,0001558370-20-005524,https://www.sec.gov/Archives/edgar/data/1001082/0001558370-20-005524.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
6,communication_services,6,DISH,Dish Network,0001001082,F4,10-Q,2020-08-07,0001558370-20-009801,https://www.sec.gov/Archives/edgar/data/1001082/0001558370-20-009801.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
6,communication_services,6,DISH,Dish Network,0001001082,F5,10-Q,2020-11-06,0001558370-20-013008,https://www.sec.gov/Archives/edgar/data/1001082/0001558370-20-013008.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
7,communication_services,7,ATVI,Activision Blizzard,0000718877,F1,10-Q,2019-11-07,0000718877-19-000021,https://www.sec.gov/Archives/edgar/data/718877/0000718877-19-000021.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
7,communication_services,7,ATVI,Activision Blizzard,0000718877,F2,10-K,2020-02-27,0000718877-20-000003,https://www.sec.gov/Archives/edgar/data/718877/0000718877-20-000003.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
7,communication_services,7,ATVI,Activision Blizzard,0000718877,F3,10-Q,2020-05-05,0001628280-20-006454,https://www.sec.gov/Archives/edgar/data/718877/0001628280-20-006454.txt,VERIFIED_FROM_OFFICIAL_SEC_MASTER_INDEX,Sequential 10-Q/10-K under frozen H06 F5 rule
