sample_order,sector,sector_rank,ticker,historical_sec_cik,company,randomization_seed,selection_status
1,communication_services,1,FOX,0001754301,Fox Corporation (Class B),H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
2,communication_services,2,CMCSA,0001166691,Comcast,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
3,communication_services,3,LUMN,0000018926,Lumen Technologies,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
4,communication_services,4,DIS,0001744489,Walt Disney Company (The),H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
5,communication_services,5,OMC,0000029989,Omnicom Group,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
6,communication_services,6,DISH,0001001082,Dish Network,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
7,communication_services,7,ATVI,0000718877,Activision Blizzard,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
8,communication_services,8,TWTR,0001418091,Twitter Inc.,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
9,communication_services,9,LYV,0001335258,Live Nation Entertainment,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
10,consumer_discretionary,1,MGM,0000789570,MGM Resorts,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
11,consumer_discretionary,2,NKE,0000320187,"Nike, Inc.",H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
12,consumer_discretionary,3,ORLY,0000898173,O'Reilly Automotive,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
13,consumer_discretionary,4,MAR,0001048286,Marriott International,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
14,consumer_discretionary,5,BWA,0000908255,BorgWarner,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
15,consumer_discretionary,6,MCD,0000063908,McDonald's,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
16,consumer_discretionary,7,APTV,0001521332,Aptiv,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
17,consumer_discretionary,8,CMG,0001058090,Chipotle Mexican Grill,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
18,consumer_discretionary,9,SBUX,0000829224,Starbucks,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
19,consumer_discretionary,10,WHR,0000106640,Whirlpool Corporation,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
20,consumer_discretionary,11,F,0000037996,Ford Motor Company,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
21,consumer_discretionary,12,TJX,0000109198,TJX Companies,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
22,consumer_discretionary,13,DPZ,0001286681,Domino's,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
23,consumer_discretionary,14,HLT,0001585689,Hilton Worldwide,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
24,consumer_discretionary,15,LB,0000701985,L Brands,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
25,consumer_discretionary,16,UA,0001336917,Under Armour (Class C),H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
26,consumer_discretionary,17,PVH,0000078239,PVH,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
27,consumer_discretionary,18,LVS,0001300514,Las Vegas Sands,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
28,consumer_discretionary,19,AAP,0001158449,Advance Auto Parts,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
29,consumer_discretionary,20,POOL,0000945841,Pool Corporation,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
30,consumer_discretionary,21,LKQ,0001065696,LKQ Corporation,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
31,consumer_discretionary,22,HAS,0000046080,Hasbro,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
32,consumer_discretionary,23,LOW,0000060667,Lowe's,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
33,consumer_discretionary,24,RL,0001037038,Ralph Lauren Corporation,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
34,consumer_discretionary,25,VFC,0000103379,VF Corporation,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
35,consumer_discretionary,26,TPR,0001116132,"Tapestry, Inc.",H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
36,consumer_staples,1,HRL,0000048465,Hormel Foods,H06-2026-08-18-v1,H06_CORRECTED_PRE_T0_FROZEN
