sample_order,sector,ticker,company_name,filing_position,form,filing_date,accession_number,classification,signal_strength,temporal_state,affected_actor,origin_status,evidence_passage,specificity,novelty,persistence,commercial_explicitness,scorer_confidence
1,communication_services,FOX,Fox Corporation,F1,10-Q,2019-11-06,0001564590-19-041135,SP002,Strong,IMPLEMENTATION,Affiliate/distribution customers,Company-originated commercial model,Higher affiliate fees and average rates per subscriber are repeatedly identified as revenue drivers.,High,Pre-existing,Persistent,High,High
1,communication_services,FOX,Fox Corporation,F2,10-Q,2020-02-05,0001564590-20-003497,SP002,Strong,IMPLEMENTATION,Affiliate/distribution customers,Company-originated commercial model,Higher affiliate fees and average rates per subscriber are repeatedly identified as revenue drivers.,High,Pre-existing,Persistent,High,High
1,communication_services,FOX,Fox Corporation,F3,10-Q,2020-05-07,0001564590-20-022088,SP002,Strong,IMPLEMENTATION,Affiliate/distribution customers,Company-originated commercial model,Higher affiliate fees and average rates per subscriber are repeatedly identified as revenue drivers.,High,Pre-existing,Persistent,High,High
1,communication_services,FOX,Fox Corporation,F4,10-K,2020-08-10,0001564590-20-038975,SP002,Strong,IMPLEMENTATION,Affiliate/distribution customers,Company-originated commercial model,Higher affiliate fees and average rates per subscriber are repeatedly identified as revenue drivers.,High,Pre-existing,Persistent,High,High
1,communication_services,FOX,Fox Corporation,F5,10-Q,2020-11-03,0001564590-20-050013,SP002,Strong,IMPLEMENTATION,Affiliate/distribution customers,Company-originated commercial model,Higher affiliate fees and average rates per subscriber are repeatedly identified as revenue drivers.,High,Pre-existing,Persistent,High,High
2,communication_services,CMCSA,Comcast,F1,10-Q,2019-10-24,0001166691-19-000020,SP002,Strong,IMPLEMENTATION,Residential/business subscribers,Company-originated commercial model,Average revenue per customer is explicitly affected by rate adjustments; service revenue repeatedly rises through higher average rates.,High,Pre-existing,Persistent,High,High
2,communication_services,CMCSA,Comcast,F2,10-K,2020-01-30,0001166691-20-000008,SP002,Strong,IMPLEMENTATION,Residential/business subscribers,Company-originated commercial model,Average revenue per customer is explicitly affected by rate adjustments; service revenue repeatedly rises through higher average rates.,High,Pre-existing,Persistent,High,High
2,communication_services,CMCSA,Comcast,F3,10-Q,2020-04-30,0001166691-20-000017,SP002,Strong,IMPLEMENTATION,Residential/business subscribers,Company-originated commercial model,Average revenue per customer is explicitly affected by rate adjustments; service revenue repeatedly rises through higher average rates.,High,Pre-existing,Persistent,High,High
2,communication_services,CMCSA,Comcast,F4,10-Q,2020-07-30,0001166691-20-000024,SP002,Strong,IMPLEMENTATION,Residential/business subscribers,Company-originated commercial model,Average revenue per customer is explicitly affected by rate adjustments; service revenue repeatedly rises through higher average rates.,High,Pre-existing,Persistent,High,High
2,communication_services,CMCSA,Comcast,F5,10-Q,2020-10-29,0001166691-20-000032,SP002,Strong,IMPLEMENTATION,Residential/business subscribers,Company-originated commercial model,Average revenue per customer is explicitly affected by rate adjustments; service revenue repeatedly rises through higher average rates.,High,Pre-existing,Persistent,High,High
3,communication_services,LUMN,Lumen Technologies,F1,10-Q,2019-11-07,0000018926-19-000022,SP003,Moderate,IMPLEMENTATION,Legacy wireline/business customers,Company-originated commercial model,Mature services are declining; the company discontinues some unprofitable relationships and later sharpens portfolio simplification toward higher-bandwidth services.,Moderate,Pre-existing,Persistent,Moderate,Moderate-High
3,communication_services,LUMN,Lumen Technologies,F2,10-K,2020-02-28,0000018926-20-000009,SP003,Moderate,IMPLEMENTATION,Legacy wireline/business customers,Company-originated commercial model,Mature services are declining; the company discontinues some unprofitable relationships and later sharpens portfolio simplification toward higher-bandwidth services.,Moderate,Pre-existing,Persistent,Moderate,Moderate-High
3,communication_services,LUMN,Lumen Technologies,F3,10-Q,2020-05-07,0000018926-20-000016,SP003,Moderate,IMPLEMENTATION,Legacy wireline/business customers,Company-originated commercial model,Mature services are declining; the company discontinues some unprofitable relationships and later sharpens portfolio simplification toward higher-bandwidth services.,Moderate,Pre-existing,Persistent,Moderate,Moderate-High
3,communication_services,LUMN,Lumen Technologies,F4,10-Q,2020-08-06,0000018926-20-000022,SP003,Moderate,IMPLEMENTATION,Legacy wireline/business customers,Company-originated commercial model,Mature services are declining; the company discontinues some unprofitable relationships and later sharpens portfolio simplification toward higher-bandwidth services.,Moderate,Increasing,Persistent,Moderate,Moderate-High
3,communication_services,LUMN,Lumen Technologies,F5,10-Q,2020-11-05,0000018926-20-000028,SP003,Moderate,IMPLEMENTATION,Legacy wireline/business customers,Company-originated commercial model,Mature services are declining; the company discontinues some unprofitable relationships and later sharpens portfolio simplification toward higher-bandwidth services.,Moderate,Increasing,Persistent,Moderate,Moderate-High
4,communication_services,DIS,Walt Disney Company,F1,10-K,2019-11-20,0001744489-19-000225,SP002,Moderate,IMPLEMENTATION,Linear-channel/DTC customers,Company-originated commercial model,The company increasingly shifts content monetization from international linear channels toward its direct-to-consumer services.,Moderate,Pre-existing,Persistent,Moderate,Moderate-High
4,communication_services,DIS,Walt Disney Company,F2,10-Q,2020-02-04,0001744489-20-000046,SP002,Moderate,IMPLEMENTATION,Linear-channel/DTC customers,Company-originated commercial model,The company increasingly shifts content monetization from international linear channels toward its direct-to-consumer services.,Moderate,Pre-existing,Persistent,Moderate,Moderate-High
4,communication_services,DIS,Walt Disney Company,F3,10-Q,2020-05-05,0001744489-20-000102,SP002,Moderate,IMPLEMENTATION,Linear-channel/DTC customers,Company-originated commercial model,The company increasingly shifts content monetization from international linear channels toward its direct-to-consumer services.,Moderate,Pre-existing,Persistent,Moderate,Moderate-High
4,communication_services,DIS,Walt Disney Company,F4,10-Q,2020-08-04,0001744489-20-000151,SP003,Strong,IMPLEMENTATION,Linear-channel/DTC customers,Company-originated commercial model,The company increasingly shifts content monetization from international linear channels toward its direct-to-consumer services.,High,Increasing,Persistent,High,Moderate-High
4,communication_services,DIS,Walt Disney Company,F5,10-K,2020-11-25,0001744489-20-000197,SP003,Strong,IMPLEMENTATION,Linear-channel/DTC customers,Company-originated commercial model,The company increasingly shifts content monetization from international linear channels toward its direct-to-consumer services.,High,Increasing,Persistent,High,Moderate-High
5,communication_services,OMC,Omnicom Group,F1,10-Q,2019-10-15,0000029989-19-000019,No Signal,N/A,N/A,N/A,N/A,Client-centric marketing services and efficiency initiatives are described without a qualifying customer pricing entitlement migration or cost-transfer mechanism.,N/A,Pre-existing,None,N/A,High
