sample_order,sector,ticker,company_name,CIK,filing_position,form,filing_date,accession_number,sec_locator,classification,signal_strength,temporal_state,affected_actor,origin_status,evidence_summary,specificity,novelty,persistence,commercial_explicitness,scorer_confidence
10,consumer_discretionary,MGM,MGM Resorts,0000789570,F1,10-Q,2019-11-05,0001564590-19-039971,https://www.sec.gov/Archives/edgar/data/789570/0001564590-19-039971.txt,SP002,Moderate,ANNOUNCED,Casino/resort customers,Company-originated commercial model,F1 already announced a customer-centric wallet-share/customer-spend strategy; later filings do not add a stronger qualifying customer-economic mechanism and F5 is dominated by COVID demand/pricing disruption.,Moderate,Pre-existing,Persistent,Moderate,Moderate-High
10,consumer_discretionary,MGM,MGM Resorts,0000789570,F2,10-K,2020-02-27,0001564590-20-007393,https://www.sec.gov/Archives/edgar/data/789570/0001564590-20-007393.txt,SP002,Moderate,ANNOUNCED,Casino/resort customers,Company-originated commercial model,F1 already announced a customer-centric wallet-share/customer-spend strategy; later filings do not add a stronger qualifying customer-economic mechanism and F5 is dominated by COVID demand/pricing disruption.,Moderate,Pre-existing,Persistent,Moderate,Moderate-High
10,consumer_discretionary,MGM,MGM Resorts,0000789570,F3,10-Q,2020-05-01,0001564590-20-020518,https://www.sec.gov/Archives/edgar/data/789570/0001564590-20-020518.txt,Neutral,N/A,N/A,N/A,N/A,F1 already announced a customer-centric wallet-share/customer-spend strategy; later filings do not add a stronger qualifying customer-economic mechanism and F5 is dominated by COVID demand/pricing disruption.,N/A,None,None,N/A,Moderate-High
10,consumer_discretionary,MGM,MGM Resorts,0000789570,F4,10-Q,2020-08-03,0001564590-20-035299,https://www.sec.gov/Archives/edgar/data/789570/0001564590-20-035299.txt,Neutral,N/A,N/A,N/A,N/A,F1 already announced a customer-centric wallet-share/customer-spend strategy; later filings do not add a stronger qualifying customer-economic mechanism and F5 is dominated by COVID demand/pricing disruption.,N/A,None,None,N/A,Moderate-High
10,consumer_discretionary,MGM,MGM Resorts,0000789570,F5,10-Q,2020-11-03,0001564590-20-049792,https://www.sec.gov/Archives/edgar/data/789570/0001564590-20-049792.txt,No Signal,N/A,N/A,N/A,N/A,F1 already announced a customer-centric wallet-share/customer-spend strategy; later filings do not add a stronger qualifying customer-economic mechanism and F5 is dominated by COVID demand/pricing disruption.,N/A,None,None,N/A,Moderate-High
11,consumer_discretionary,NKE,"Nike, Inc.",0000320187,F1,10-Q,2019-10-04,0000320187-19-000071,https://www.sec.gov/Archives/edgar/data/320187/0000320187-19-000071.txt,SP002,Strong,IMPLEMENTATION,Existing consumers,Company-originated commercial model,"Higher full-price ASP, lower discounting and direct-channel mix are explicit at F1 and remain the same established yield mechanism through F5.",High,Pre-existing,Persistent,High,High
11,consumer_discretionary,NKE,"Nike, Inc.",0000320187,F2,10-Q,2020-01-07,0000320187-20-000004,https://www.sec.gov/Archives/edgar/data/320187/0000320187-20-000004.txt,SP002,Strong,IMPLEMENTATION,Existing consumers,Company-originated commercial model,"Higher full-price ASP, lower discounting and direct-channel mix are explicit at F1 and remain the same established yield mechanism through F5.",High,Pre-existing,Persistent,High,High
11,consumer_discretionary,NKE,"Nike, Inc.",0000320187,F3,10-Q,2020-04-07,0000320187-20-000018,https://www.sec.gov/Archives/edgar/data/320187/0000320187-20-000018.txt,SP002,Strong,IMPLEMENTATION,Existing consumers,Company-originated commercial model,"Higher full-price ASP, lower discounting and direct-channel mix are explicit at F1 and remain the same established yield mechanism through F5.",High,Pre-existing,Persistent,High,High
11,consumer_discretionary,NKE,"Nike, Inc.",0000320187,F4,10-K,2020-07-24,0000320187-20-000047,https://www.sec.gov/Archives/edgar/data/320187/0000320187-20-000047.txt,SP002,Strong,IMPLEMENTATION,Existing consumers,Company-originated commercial model,"Higher full-price ASP, lower discounting and direct-channel mix are explicit at F1 and remain the same established yield mechanism through F5.",High,Pre-existing,Persistent,High,High
11,consumer_discretionary,NKE,"Nike, Inc.",0000320187,F5,10-Q,2020-10-08,0000320187-20-000061,https://www.sec.gov/Archives/edgar/data/320187/0000320187-20-000061.txt,SP002,Strong,IMPLEMENTATION,Existing consumers,Company-originated commercial model,"Higher full-price ASP, lower discounting and direct-channel mix are explicit at F1 and remain the same established yield mechanism through F5.",High,Pre-existing,Persistent,High,High
