sample_order,ticker,company_name,sector,F5_class,F5_strength,H06_intensity_binary,semantic_acceleration,affected_actor,trajectory_rationale,batch_status
198,EQIX,Equinix,real_estate,No Signal,N/A,LOW,NO,N/A,"Utility price increases are Equinix input costs, not a customer transfer mechanism.",FROZEN_WITHIN_BATCH_PRE_OUTCOME
199,SBAC,SBA Communications,real_estate,SP004,Strong,HIGH,NO,Tower tenants,"Tenant/site leases explicitly contain rent escalators and pass-through charges for underlying ground rent; established contractual transfer, no acceleration.",FROZEN_WITHIN_BATCH_PRE_OUTCOME
200,AMT,American Tower,real_estate,SP004,Very Strong,HIGH,NO,Tower tenants,"Most tenant leases periodically increase rent and some explicitly pass through ground-rent, power and fuel costs; very strong and present from F1.",FROZEN_WITHIN_BATCH_PRE_OUTCOME
201,PEAK,Healthpeak,real_estate,SP002,Moderate,LOW,NO,Healthcare-property tenants,"Annual/rental-rate increases contribute to cash flow, but F5 evidence is not Strong enough for High intensity.",FROZEN_WITHIN_BATCH_PRE_OUTCOME
202,CBRE,CBRE Group,real_estate,No Signal,N/A,LOW,NO,N/A,Inflation and interest-rate references concern market conditions/costs rather than customer-economic action.,FROZEN_WITHIN_BATCH_PRE_OUTCOME
203,PSA,Public Storage,real_estate,SP002,Very Strong,HIGH,NO,Self-storage tenants,F5 explicitly resumes rate increases to existing long-term tenants and raises new-tenant rental rates; mechanism is established/resumed rather than new.,FROZEN_WITHIN_BATCH_PRE_OUTCOME
204,ESS,Essex Property Trust,real_estate,SP002,Moderate,LOW,NO,Apartment residents,"Rental-rate economics are explicit, but F5 does not show a Strong yield action after the temporary no-increase period.",FROZEN_WITHIN_BATCH_PRE_OUTCOME
205,HST,Host Hotels & Resorts,real_estate,No Signal,N/A,LOW,NO,N/A,Travel/migration and financing-rate language is non-qualifying.,FROZEN_WITHIN_BATCH_PRE_OUTCOME
206,VNO,Vornado Realty Trust,real_estate,SP004,Moderate,LOW,NO,Commercial tenants,"Leases contain rent step-ups and operating-cost/utility pass-throughs, but F5 does not present a Strong current mechanism.",FROZEN_WITHIN_BATCH_PRE_OUTCOME
207,VTR,Ventas,real_estate,No Signal,N/A,LOW,NO,N/A,F1 contractual rent escalation is not sustained as a qualifying Strong F5 signal.,FROZEN_WITHIN_BATCH_PRE_OUTCOME
208,AIV,Apartment Investment & Management,real_estate,SP002,Moderate,LOW,NO,Apartment residents,"Renewal/new-lease rent growth is an established mechanism, but F5 evidence is below Strong.",FROZEN_WITHIN_BATCH_PRE_OUTCOME
209,DRE,Duke Realty,real_estate,SP002,Moderate,LOW,NO,Industrial tenants,"Rental-rate growth/re-leasing contributes to revenue, but no Strong new F5 yield mechanism is identified.",FROZEN_WITHIN_BATCH_PRE_OUTCOME
210,WELL,Welltower,real_estate,SP002,Strong,HIGH,NO,Triple-net tenants,F5 explicitly reports contractual rental-rate increases under escalators; strong but already present at F1.,FROZEN_WITHIN_BATCH_PRE_OUTCOME
211,AVB,AvalonBay Communities,real_estate,SP002,Moderate,LOW,NO,Apartment residents,"Rental-rate economics persist, but F5 is dominated by regulatory constraints/hypothetical caps rather than a Strong company action.",FROZEN_WITHIN_BATCH_PRE_OUTCOME
212,DLR,Digital Realty,real_estate,SP002,Moderate,LOW,NO,Data-center tenants,"Rental rates and renewals are central to the lease model, but F5 evidence does not reach Strong.",FROZEN_WITHIN_BATCH_PRE_OUTCOME
213,REG,Regency Centers,real_estate,SP002,Moderate,LOW,NO,Retail-center tenants,Rental-rate growth on new/renewal leases is established but F5 evidence remains below Strong.,FROZEN_WITHIN_BATCH_PRE_OUTCOME
