sample_order,sector,ticker,company_name,F5_class,F5_strength,H06_intensity_binary,semantic_acceleration,affected_actor,trajectory_rationale,scorer_confidence,batch_status
99,health_care,DHR,Danaher Corporation,SP002,Strong,HIGH,NO,Laboratory/life-science customers,Segment price increases are already contributing to sales at F1 and remain an established pricing mechanism; high intensity but not accelerating.,High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
100,health_care,IQV,IQVIA,No Signal,N/A,LOW,NO,N/A,Fixed-price and migration references do not establish a qualifying customer-economic action.,High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
101,health_care,ABMD,Abiomed,No Signal,N/A,LOW,NO,N/A,"No qualifying customer pricing, entitlement, migration, or cost-transfer mechanism is established.",High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
102,health_care,MDT,Medtronic,No Signal,N/A,LOW,NO,N/A,Derivative/reference-rate discontinuation language is accounting/financing rather than customer-product withdrawal.,High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
103,health_care,MCK,McKesson Corporation,No Signal,N/A,LOW,NO,N/A,Drug price increases are described as market/industry growth rather than a company-originated customer action.,High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
104,health_care,REGN,Regeneron Pharmaceuticals,No Signal,N/A,LOW,NO,N/A,"Rebate and inflation language reflects statutory pricing rules and regulation, not a new company-originated customer action.",High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
105,health_care,ALGN,Align Technology,SP002,Strong,HIGH,NO,Clear-aligner customers,Higher ASP from price increases and mix is already explicit at F1 and persists; strong but static existing-customer yield optimization.,High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
106,health_care,ABBV,AbbVie,No Signal,N/A,LOW,NO,N/A,Pricing references are primarily regulatory-risk discussion rather than a concrete company action in the frozen trajectory.,High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
107,health_care,BIO,Bio-Rad Laboratories,SP004,Moderate,LOW,NO,Laboratory/research customers,"F5 explicitly links inflationary acquired-goods costs to attempted price recovery, but the language stresses inability/restriction and does not establish a Strong implemented transfer.",Moderate-High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
108,health_care,CI,Cigna,No Signal,N/A,LOW,NO,N/A,Higher branded-drug prices primarily reflect upstream drug-price inflation and customer-transition mechanics rather than a qualifying Cigna-originated action.,High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
109,health_care,VAR,Varian Medical Systems,No Signal,N/A,LOW,NO,N/A,Acquisition and LIBOR-migration language is non-qualifying.,High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
110,health_care,RMD,ResMed|,No Signal,N/A,LOW,NO,N/A,Share-repurchase and reference-rate discontinuation language does not affect customers.,High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
111,health_care,PKI,PerkinElmer,No Signal,N/A,LOW,NO,N/A,"The filing describes inability to pass shipping cost increases to customers, not a qualifying implemented customer-cost transfer.",High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
112,health_care,PFE,Pfizer,No Signal,N/A,LOW,NO,N/A,"Price-increase and rebate references are legislative/regulatory risk language, not a concrete company-originated action.",High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
113,health_care,BDX,Becton Dickinson,No Signal,N/A,LOW,NO,N/A,Reimbursement and inflation discussion does not establish a qualifying customer-economic action.,High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
114,health_care,ZTS,Zoetis,No Signal,N/A,LOW,NO,N/A,Discontinuation references concern hedging/accounting rather than customer products.,High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
115,health_care,CVS,CVS Health,SP004,Moderate,LOW,NO,Insured health-plan members,"Premium-rate increases are explicitly linked to rising health-care/benefit costs from F1 onward, but the frozen language remains regulatory/risk constrained rather than Strong implemented transfer.",Moderate-High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
116,health_care,LH,Labcorp,SP002,Moderate,LOW,NO,Patients/third-party payers,"Patient list-price fee schedules and negotiated discounts are an established pricing architecture, but no material strengthening or new mechanism appears by F5.",High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
117,health_care,HUM,Humana,No Signal,N/A,LOW,NO,N/A,Medicare Part D cost-sharing stages are statutory plan-design mechanics rather than a newly company-originated economic action.,High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
118,health_care,ALXN,Alexion Pharmaceuticals,SP002,Moderate,LOW,NO,Patients/payers,"The company repeatedly describes higher-priced therapies and payer barriers, but the trajectory does not show a Strong new pricing action.",High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
119,health_care,UNH,UnitedHealth Group,No Signal,N/A,LOW,NO,N/A,Rate references are interest-rate/tax mechanics rather than customer pricing actions.,High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
120,health_care,COO,Cooper Companies (The),No Signal,N/A,LOW,NO,N/A,"Rate-increase references concern indebtedness and financing, not customers.",High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
121,health_care,EW,Edwards Lifesciences,SP003,Strong,HIGH,NO,TAVR customers,The decision to discontinue the CENTERA program is already explicit in the opening filing and remains the same portfolio-withdrawal mechanism through F5.,High,FROZEN_WITHIN_BATCH_PRE_OUTCOME
