sample_order,sector,ticker,company_name,CIK,filing_position,form,filing_date,accession_number,sec_locator,classification,signal_strength,temporal_state,affected_actor,origin_status,evidence_summary,specificity,novelty,persistence,commercial_explicitness,scorer_confidence
36,consumer_staples,HRL,Hormel Foods,0000048465,F1,10-Q,2019-09-03,0000048465-19-000041,https://www.sec.gov/Archives/edgar/data/48465/0000048465-19-000041.txt,SP004,Strong,IMPLEMENTATION,Retail/foodservice customers,Company-originated commercial model,Input-cost volatility and branded pricing actions are already explicitly linked at F1; later filings repeat pricing/pass-through as the same cost-recovery mechanism.,High,Pre-existing,Persistent,High,High
36,consumer_staples,HRL,Hormel Foods,0000048465,F2,10-K,2019-12-06,0000048465-19-000057,https://www.sec.gov/Archives/edgar/data/48465/0000048465-19-000057.txt,SP004,Strong,IMPLEMENTATION,Retail/foodservice customers,Company-originated commercial model,Input-cost volatility and branded pricing actions are already explicitly linked at F1; later filings repeat pricing/pass-through as the same cost-recovery mechanism.,High,Pre-existing,Persistent,High,High
36,consumer_staples,HRL,Hormel Foods,0000048465,F3,10-Q,2020-03-03,0000048465-20-000008,https://www.sec.gov/Archives/edgar/data/48465/0000048465-20-000008.txt,SP004,Strong,IMPLEMENTATION,Retail/foodservice customers,Company-originated commercial model,Input-cost volatility and branded pricing actions are already explicitly linked at F1; later filings repeat pricing/pass-through as the same cost-recovery mechanism.,High,Pre-existing,Persistent,High,High
36,consumer_staples,HRL,Hormel Foods,0000048465,F4,10-Q,2020-06-02,0000048465-20-000027,https://www.sec.gov/Archives/edgar/data/48465/0000048465-20-000027.txt,SP004,Strong,IMPLEMENTATION,Retail/foodservice customers,Company-originated commercial model,Input-cost volatility and branded pricing actions are already explicitly linked at F1; later filings repeat pricing/pass-through as the same cost-recovery mechanism.,High,Pre-existing,Persistent,High,High
36,consumer_staples,HRL,Hormel Foods,0000048465,F5,10-Q,2020-09-01,0000048465-20-000036,https://www.sec.gov/Archives/edgar/data/48465/0000048465-20-000036.txt,SP004,Strong,IMPLEMENTATION,Retail/foodservice customers,Company-originated commercial model,Input-cost volatility and branded pricing actions are already explicitly linked at F1; later filings repeat pricing/pass-through as the same cost-recovery mechanism.,High,Pre-existing,Persistent,High,High
37,consumer_staples,SJM,J.M. Smucker Company (The),0000091419,F1,10-Q,2019-11-22,0000091419-19-000024,https://www.sec.gov/Archives/edgar/data/91419/0000091419-19-000024.txt,SP002,Moderate,IMPLEMENTATION,Retail consumers,Company-originated commercial model,"F1 contains category-level net pricing, but F5 materially sharpens the mechanism: reduced promotional activity plus a specific Jif peanut-butter list-price increase raises net sales by four percentage points.",Moderate,Pre-existing,Persistent,Moderate,High
37,consumer_staples,SJM,J.M. Smucker Company (The),0000091419,F2,10-Q,2020-02-27,0000091419-20-000012,https://www.sec.gov/Archives/edgar/data/91419/0000091419-20-000012.txt,SP002,Moderate,IMPLEMENTATION,Retail consumers,Company-originated commercial model,"F1 contains category-level net pricing, but F5 materially sharpens the mechanism: reduced promotional activity plus a specific Jif peanut-butter list-price increase raises net sales by four percentage points.",Moderate,Pre-existing,Persistent,Moderate,High
37,consumer_staples,SJM,J.M. Smucker Company (The),0000091419,F3,10-K,2020-06-19,0000091419-20-000065,https://www.sec.gov/Archives/edgar/data/91419/0000091419-20-000065.txt,SP002,Moderate,IMPLEMENTATION,Retail consumers,Company-originated commercial model,"F1 contains category-level net pricing, but F5 materially sharpens the mechanism: reduced promotional activity plus a specific Jif peanut-butter list-price increase raises net sales by four percentage points.",Moderate,Pre-existing,Persistent,Moderate,High
37,consumer_staples,SJM,J.M. Smucker Company (The),0000091419,F4,10-Q,2020-08-25,0000091419-20-000111,https://www.sec.gov/Archives/edgar/data/91419/0000091419-20-000111.txt,SP002,Moderate,IMPLEMENTATION,Retail consumers,Company-originated commercial model,"F1 contains category-level net pricing, but F5 materially sharpens the mechanism: reduced promotional activity plus a specific Jif peanut-butter list-price increase raises net sales by four percentage points.",Moderate,Pre-existing,Persistent,Moderate,High
37,consumer_staples,SJM,J.M. Smucker Company (The),0000091419,F5,10-Q,2020-11-24,0000091419-20-000151,https://www.sec.gov/Archives/edgar/data/91419/0000091419-20-000151.txt,SP002,Strong,IMPLEMENTATION,Retail consumers,Company-originated commercial model,"F1 contains category-level net pricing, but F5 materially sharpens the mechanism: reduced promotional activity plus a specific Jif peanut-butter list-price increase raises net sales by four percentage points.",High,Increasing,Persistent,High,High
38,consumer_staples,K,Kellanova,0000055067,F1,10-Q,2019-10-30,0001628280-19-012828,https://www.sec.gov/Archives/edgar/data/55067/0001628280-19-012828.txt,SP002,Moderate,IMPLEMENTATION,Retail consumers,Company-originated commercial model,Revenue-growth management and pricing/promotional discipline are present from F1 but remain broad and do not become a new concrete customer-economic mechanism by F5.,Moderate,Pre-existing,Persistent,Moderate,Moderate-High
38,consumer_staples,K,Kellanova,0000055067,F2,10-K,2020-02-24,0001628280-20-002113,https://www.sec.gov/Archives/edgar/data/55067/0001628280-20-002113.txt,SP002,Moderate,IMPLEMENTATION,Retail consumers,Company-originated commercial model,Revenue-growth management and pricing/promotional discipline are present from F1 but remain broad and do not become a new concrete customer-economic mechanism by F5.,Moderate,Pre-existing,Persistent,Moderate,Moderate-High
38,consumer_staples,K,Kellanova,0000055067,F3,10-Q,2020-05-01,0001628280-20-006119,https://www.sec.gov/Archives/edgar/data/55067/0001628280-20-006119.txt,SP002,Moderate,IMPLEMENTATION,Retail consumers,Company-originated commercial model,Revenue-growth management and pricing/promotional discipline are present from F1 but remain broad and do not become a new concrete customer-economic mechanism by F5.,Moderate,Pre-existing,Persistent,Moderate,Moderate-High
38,consumer_staples,K,Kellanova,0000055067,F4,10-Q,2020-07-31,0001628280-20-011358,https://www.sec.gov/Archives/edgar/data/55067/0001628280-20-011358.txt,SP002,Moderate,IMPLEMENTATION,Retail consumers,Company-originated commercial model,Revenue-growth management and pricing/promotional discipline are present from F1 but remain broad and do not become a new concrete customer-economic mechanism by F5.,Moderate,Pre-existing,Persistent,Moderate,Moderate-High
38,consumer_staples,K,Kellanova,0000055067,F5,10-Q,2020-10-30,0001628280-20-015164,https://www.sec.gov/Archives/edgar/data/55067/0001628280-20-015164.txt,SP002,Moderate,IMPLEMENTATION,Retail consumers,Company-originated commercial model,Revenue-growth management and pricing/promotional discipline are present from F1 but remain broad and do not become a new concrete customer-economic mechanism by F5.,Moderate,Pre-existing,Persistent,Moderate,Moderate-High
39,consumer_staples,MNST,Monster Beverage,0000865752,F1,10-Q,2019-11-08,0001104659-19-061273,https://www.sec.gov/Archives/edgar/data/865752/0001104659-19-061273.txt,SP002,Strong,IMPLEMENTATION,Bottlers/distributors and retail consumers,Company-originated commercial model,U.S./Canada price increases are already implemented and quantified at F1/F2; by F5 the filing mainly describes standing promotional/list-price mechanics rather than a new or strengthened yield action.,High,Pre-existing,Persistent,High,High
39,consumer_staples,MNST,Monster Beverage,0000865752,F2,10-K,2020-02-28,0001104659-20-027209,https://www.sec.gov/Archives/edgar/data/865752/0001104659-20-027209.txt,SP002,Strong,IMPLEMENTATION,Bottlers/distributors and retail consumers,Company-originated commercial model,U.S./Canada price increases are already implemented and quantified at F1/F2; by F5 the filing mainly describes standing promotional/list-price mechanics rather than a new or strengthened yield action.,High,Pre-existing,Persistent,High,High
39,consumer_staples,MNST,Monster Beverage,0000865752,F3,10-Q,2020-05-11,0001104659-20-058939,https://www.sec.gov/Archives/edgar/data/865752/0001104659-20-058939.txt,SP002,Moderate,IMPLEMENTATION,Bottlers/distributors and retail consumers,Company-originated commercial model,U.S./Canada price increases are already implemented and quantified at F1/F2; by F5 the filing mainly describes standing promotional/list-price mechanics rather than a new or strengthened yield action.,Moderate,Pre-existing,Persistent,Moderate,High
39,consumer_staples,MNST,Monster Beverage,0000865752,F4,10-Q,2020-08-06,0001104659-20-091376,https://www.sec.gov/Archives/edgar/data/865752/0001104659-20-091376.txt,SP002,Moderate,IMPLEMENTATION,Bottlers/distributors and retail consumers,Company-originated commercial model,U.S./Canada price increases are already implemented and quantified at F1/F2; by F5 the filing mainly describes standing promotional/list-price mechanics rather than a new or strengthened yield action.,Moderate,Pre-existing,Persistent,Moderate,High
39,consumer_staples,MNST,Monster Beverage,0000865752,F5,10-Q,2020-11-06,0001104659-20-122598,https://www.sec.gov/Archives/edgar/data/865752/0001104659-20-122598.txt,SP002,Moderate,IMPLEMENTATION,Bottlers/distributors and retail consumers,Company-originated commercial model,U.S./Canada price increases are already implemented and quantified at F1/F2; by F5 the filing mainly describes standing promotional/list-price mechanics rather than a new or strengthened yield action.,Moderate,Pre-existing,Persistent,Moderate,High
40,consumer_staples,PM,Philip Morris International,0001413329,F1,10-Q,2019-10-24,0001413329-19-000071,https://www.sec.gov/Archives/edgar/data/1413329/0001413329-19-000071.txt,SP002,Strong,IMPLEMENTATION,Adult nicotine consumers,Company-originated commercial model,Protecting margins through price increases and favorable pricing variance are explicit at F1 and remain a persistent established yield mechanism through F5.,High,Pre-existing,Persistent,High,High
40,consumer_staples,PM,Philip Morris International,0001413329,F2,10-K,2020-02-07,0001413329-20-000007,https://www.sec.gov/Archives/edgar/data/1413329/0001413329-20-000007.txt,SP002,Strong,IMPLEMENTATION,Adult nicotine consumers,Company-originated commercial model,Protecting margins through price increases and favorable pricing variance are explicit at F1 and remain a persistent established yield mechanism through F5.,High,Pre-existing,Persistent,High,High
40,consumer_staples,PM,Philip Morris International,0001413329,F3,10-Q,2020-04-28,0001413329-20-000032,https://www.sec.gov/Archives/edgar/data/1413329/0001413329-20-000032.txt,SP002,Strong,IMPLEMENTATION,Adult nicotine consumers,Company-originated commercial model,Protecting margins through price increases and favorable pricing variance are explicit at F1 and remain a persistent established yield mechanism through F5.,High,Pre-existing,Persistent,High,High
