sample_order,sector,ticker,company_name,F1_class,F1_strength,F2_class,F2_strength,F3_class,F3_strength,F4_class,F4_strength,F5_class,F5_strength,H06_intensity_binary,semantic_acceleration,affected_actor,trajectory_rationale,scorer_confidence
36,consumer_staples,HRL,Hormel Foods,SP004,Strong,SP004,Strong,SP004,Strong,SP004,Strong,SP004,Strong,HIGH,NO,Retail/foodservice customers,"Input-cost volatility and branded pricing actions are already explicitly linked at F1; later filings repeat pricing/pass-through as the same cost-recovery mechanism.",High
37,consumer_staples,SJM,J.M. Smucker Company,SP002,Moderate,SP002,Moderate,SP002,Moderate,SP002,Moderate,SP002,Strong,HIGH,YES,Retail consumers,"F1 contains category-level net pricing, but F5 materially sharpens the mechanism: reduced promotional activity plus a specific Jif peanut-butter list-price increase raises net sales by four percentage points.",High
38,consumer_staples,K,Kellogg,SP002,Moderate,SP002,Moderate,SP002,Moderate,SP002,Moderate,SP002,Moderate,LOW,NO,Retail consumers,"Revenue-growth management and pricing/promotional discipline are present from F1 but remain broad and do not become a new concrete customer-economic mechanism by F5.",Moderate-High
39,consumer_staples,MNST,Monster Beverage,SP002,Strong,SP002,Strong,SP002,Moderate,SP002,Moderate,SP002,Moderate,LOW,NO,Bottlers/distributors and retail consumers,"U.S./Canada price increases are already implemented and quantified at F1/F2; by F5 the filing mainly describes standing promotional/list-price mechanics rather than a new or strengthened yield action.",High
40,consumer_staples,PM,Philip Morris International,SP002,Strong,SP002,Strong,SP002,Strong,SP002,Strong,SP002,Strong,HIGH,NO,Adult nicotine consumers,"Protecting margins through price increases and favorable pricing variance are explicit at F1 and remain a persistent established yield mechanism through F5.",High
41,consumer_staples,EL,Estee Lauder Companies,SP004,Strong,SP004,Strong,SP004,Strong,SP004,Strong,SP004,Strong,HIGH,NO,Beauty consumers,"The company states from F1 that it introduces products at higher prices and increases prices to offset cost increases; materially the same cost-transfer language persists through F5.",High
42,consumer_staples,STZ,Constellation Brands,SP002,Strong,SP002,Strong,SP002,Strong,SP002,Strong,SP002,Strong,HIGH,NO,Beer/wine/spirits consumers,"Premiumization, higher-end Power Brand concentration and favorable pricing are explicit at F1 and repeated at F5; strong but static existing-customer yield strategy.",High
43,consumer_staples,LW,Lamb Weston,SP002,Strong,SP002,Strong,SP002,Strong,SP002,Strong,SP002,Strong,HIGH,NO,Foodservice/retail customers,"Pricing actions and favorable price/mix are operating drivers at F1 and remain higher-price/mix drivers at F5 without a new mechanism.",High
44,consumer_staples,TSN,Tyson Foods,SP004,Very Strong,SP004,Very Strong,SP004,Very Strong,SP004,Very Strong,SP004,Very Strong,HIGH,NO,Foodservice/retail customers,"F1 explicitly states the objective to offset commodity increases with pricing and recover higher operating/labor costs through pricing; later filings show pass-through of raw-material/livestock costs. The mechanism is already fully explicit at F1.",High
45,consumer_staples,CLX,Clorox,SP002,Strong,SP002,Strong,SP002,Strong,SP002,Strong,SP002,Strong,HIGH,NO,Retail consumers,"Pricing actions and actual price increases already contribute to sales and earnings at F1; F5 continues to define price/mix as company pricing actions, so intensity is high but static.",High
46,consumer_staples,PEP,PepsiCo,SP002,Moderate,SP002,Moderate,SP002,Moderate,SP002,Moderate,SP002,Moderate,LOW,NO,Retail consumers,"Pricing and promotional effectiveness are present as established revenue-management levers, but the frozen F5 evidence does not rise to a sufficiently specific Strong customer-economic action.",Moderate
47,consumer_staples,ADM,Archer Daniels Midland,No Signal,N/A,No Signal,N/A,No Signal,N/A,No Signal,N/A,No Signal,N/A,LOW,NO,N/A,"Commodity and freight prices primarily reflect market/contract mechanics rather than a company-originated qualifying customer-yield or cost-transfer action.",High
48,consumer_staples,KO,Coca-Cola Company,SP002,Strong,SP002,Strong,SP002,Strong,SP002,Strong,SP002,Strong,HIGH,NO,Bottlers/retail consumers,"Revenue-growth management and favorable price mix are explicit at F1; F5 expressly defines pricing actions by the company/bottlers as a price-mix driver. The mechanism is persistent rather than newly accelerating.",High
49,consumer_staples,TAP,Molson Coors Beverage Company,No Signal,N/A,No Signal,N/A,No Signal,N/A,No Signal,N/A,No Signal,N/A,LOW,NO,N/A,"Cost inflation and premium-product demand are discussed, but the frozen evidence does not establish a concrete company customer-transfer or yield action at F5.",High
50,consumer_staples,PG,Procter & Gamble,SP004,Strong,SP004,Strong,SP004,Strong,SP004,Strong,SP004,Strong,HIGH,NO,Retail consumers,"F1 explicitly links commodity fluctuations to pricing actions and shows actual higher pricing; F5 repeats pricing actions as a cost-management lever and reports higher-pricing margin benefit. Strong but pre-existing.",High
51,consumer_staples,TGT,Target Corporation,No Signal,N/A,No Signal,N/A,No Signal,N/A,No Signal,N/A,No Signal,N/A,LOW,NO,N/A,"The frozen filings do not identify a qualifying customer pricing, entitlement, migration or cost-transfer mechanism; accounting references to discontinued operations are non-qualifying.",High
